text,intent,label_encoded
Seat capacity for Mechanical Engineering at SEC,Course_seats,10
Cutoff rank for SEC,Course_cutoff,5
How to secure admission at SEC?,Admission_process,0
SEC admission steps,Admission_process,0
SEC financial aid programs,Scholarship_info,19
SEC internship details,Internship_opportunities,17
Reach out to SEC,College_contact,2
Placement performance SEC,Placement_info,18
SEC practical training,Internship_opportunities,17
Internship programs at Sagarmatha Engineering College,Internship_opportunities,17
Student capacity at Sagarmatha,Course_seats,10
Where can I find SEC?,College_location,3
SEC program list,Course_list,8
Which engineering is better at SEC?,Compare_courses,4
Educational quality at SEC,Course_rating,9
Residential options at SEC,Hostel_availability,16
How well rated is SEC?,Course_rating,9
Professors at Sagarmatha,Faculty_info,15
Contact person at SEC,College_contact,2
What kind of institution is SEC?,College_basic_info,1
Intake capacity at Sagarmatha Engineering College,Course_seats,10
Entrance exam cutoff SEC,Course_cutoff,5
Who runs the departments at SEC?,Department_head,12
Where is Sagarmatha Engineering College located?,College_location,3
Minimum score for SEC admission,Course_cutoff,5
How many faculty members are at SEC?,Faculty_info,15
Course length at SEC,Course_duration,6
Seat availability at SEC,Course_seats,10
Cutoff marks for Mechanical Engineering at SEC,Course_cutoff,5
Engineering programs at Sagarmatha Engineering College,Course_list,8
Number of teachers at SEC,Faculty_info,15
Details of Computer Engineering program,Course_specific_info,11
Does SEC provide accommodation?,Hostel_availability,16
Financial cost of SEC,Course_fee,7
Industrial training at SEC,Internship_opportunities,17
Does SEC offer housing?,Hostel_availability,16
Organizational structure of SEC,Department_info,13
Course ranking at SEC,Course_rating,9
How expensive is SEC?,Course_fee,7
Civil Engineering department leader SEC,Department_head,12
What do you know about SEC?,College_basic_info,1
Time to complete engineering at SEC,Course_duration,6
What is the rating of courses at SEC?,Course_rating,9
SEC program duration,Course_duration,6
Faculty to student ratio at Sagarmatha Engineering College,Faculty_info,15
Admission prerequisites SEC,Eligibility_criteria,14
Industry exposure at SEC,Internship_opportunities,17
Engineering divisions at SEC,Department_info,13
SEC boarding facilities,Hostel_availability,16
General information about Sagarmatha,College_basic_info,1
List of courses at SEC,Course_list,8
Cost of education at SEC,Course_fee,7
SEC capacity per course,Course_seats,10
